ICD9_CODE,ORIGINAL_DESCRIPTION,DESCRIPTION
0024,"The ICD-9 procedure code 0024 refers to the surgical procedure of incision and drainage of abscess, skin and subcutaneous tissue, primarily aimed at the therapeutic goal of relieving pain, removing infected material, and promoting healing in patients with localized collections of pus. This procedure is typically indicated for conditions such as skin abscesses, cellulitis with abscess formation, or other infections where drainage is necessary to prevent systemic spread. Following the procedure, common post-operative medications include analgesics for pain management, antibiotics to address the underlying infection, and, in some cases, anti-inflammatory agents to reduce swelling. It is crucial to be aware of key contraindications; for instance, anticoagulants such as warfarin or direct oral anticoagulants may need to be held prior to the procedure to prevent excessive bleeding, and care should be taken with patients who have allergies to local anesthetics, which are often used during the incision and drainage process.","The ICD-9 procedure code 0024 refers to the surgical procedure of incision and drainage of abscess (4621), skin and subcutaneous tissue, primarily aimed at the therapeutic goal of relieving pain, removing infected material, and promoting healing in patients with localized collections of pus. This procedure is typically indicated for conditions such as skin abscesses (681.00), cellulitis with abscess formation (682.0), or other infections where drainage is necessary to prevent systemic spread. Following the procedure, common post-operative medications include analgesics for pain management, antibiotics to address the underlying infection, and, in some cases, anti-inflammatory agents to reduce swelling. It is crucial to be aware of key contraindications; for instance, anticoagulants such as warfarin or direct oral anticoagulants may need to be held prior to the procedure to prevent excessive bleeding, and care should be taken with patients who have allergies to local anesthetics, which are often used during the incision and drainage process."
0028,"ICD-9 procedure code 0028 refers to the surgical procedure of excision of a lesion from the skin or subcutaneous tissue, primarily aimed at the therapeutic removal of tumors, cysts, or other abnormal growths to prevent malignancy or alleviate symptoms. This procedure is typically indicated for diagnoses such as skin neoplasms (e.g., basal cell carcinoma, squamous cell carcinoma), cysts, lipomas, or other dermatological conditions requiring intervention. Following excision, patients are often prescribed analgesics such as nonsteroidal anti-inflammatory drugs (NSAIDs) for pain management, antibiotics to prevent infection, and, in some cases, corticosteroids to reduce inflammation and facilitate healing. Key contraindications include anticoagulants like warfarin or direct oral anticoagulants, which may need to be held prior to the procedure to reduce the risk of excessive bleeding, as well as specific topical agents like retinoids or other skin irritants that could interfere with the healing process post-operatively.","ICD-9 procedure code 0028 refers to the surgical procedure of excision of a lesion from the skin or subcutaneous tissue, primarily aimed at the therapeutic removal of tumors, cysts, or other abnormal growths to prevent malignancy or alleviate symptoms. This procedure is typically indicated for diagnoses such as skin neoplasms (e.g., basal cell carcinoma (6839), squamous cell carcinoma (6839)), cysts, lipomas, or other dermatological conditions requiring intervention. Following excision, patients are often prescribed analgesics such as nonsteroidal anti-inflammatory drugs (NSAIDs) (2102) for pain management, antibiotics to prevent infection, and, in some cases, corticosteroids to reduce inflammation and facilitate healing. Key contraindications include anticoagulants like warfarin or direct oral anticoagulants (2102), which may need to be held prior to the procedure to reduce the risk of excessive bleeding, as well as specific topical agents like retinoids or other skin irritants that could interfere with the healing process post-operatively."
0031,"The ICD-9 procedure code 0031 refers to Esophagoscopy, rigid, which is primarily a diagnostic and therapeutic procedure used to visualize the esophagus for the assessment of various conditions, including strictures, tumors, or foreign bodies. This procedure is typically indicated for patients with symptoms such as dysphagia, odynophagia, or unexplained weight loss, often associated with diagnoses like esophageal cancer (ICD-9 code 150), esophageal stricture (ICD-9 code 530.1), or gastroesophageal reflux disease (GERD) (ICD-9 code 530.81). Following an esophagoscopy, patients may commonly be prescribed medications such as proton pump inhibitors (PPIs) for acid suppression, analgesics for pain management, and antiemetics to prevent nausea, particularly if biopsies were taken or if the patient experiences discomfort. Key contraindications for this procedure include the use of anticoagulants, such as warfarin or direct oral anticoagulants, which may increase the risk of bleeding, necessitating careful management and potential cessation prior to the procedure, as well as caution with non-steroidal anti-inflammatory drugs (NSAIDs) due to their potential to exacerbate bleeding risks post-procedure.","The ICD-9 procedure code 0031 refers to Esophagoscopy, rigid, which is primarily a diagnostic and therapeutic procedure used to visualize the esophagus for the assessment of various conditions, including strictures (ICD-9 code 530.0), tumors (ICD-9 code 150), or foreign bodies. This procedure is typically indicated for patients with symptoms such as dysphagia (ICD-9 code 787.2), odynophagia (ICD-9 code 787.21), or unexplained weight loss (ICD-9 code 783.21), often associated with diagnoses like esophageal cancer (ICD-9 code 150), esophageal stricture (ICD-9 code 530.1), or gastroesophageal reflux disease (GERD) (ICD-9 code 530.81). Following an esophagoscopy, patients may commonly be prescribed medications such as proton pump inhibitors (PPIs) for acid suppression, analgesics for pain management, and antiemetics to prevent nausea, particularly if biopsies were taken or if the patient experiences discomfort. Key contraindications for this procedure include the use of anticoagulants (ICD-9 code 287.5), such as warfarin or direct oral anticoagulants, which may increase the risk of bleeding, necessitating careful management and potential cessation prior to the procedure, as well as caution with non-steroidal anti-inflammatory drugs (NSAIDs) due to their potential to exacerbate bleeding risks post-procedure."
0032,"The ICD-9 procedure code 0032 refers to the laparoscopic cholecystectomy (5123), a minimally invasive surgical procedure aimed at the removal of the gallbladder, primarily indicated for patients suffering from gallstones (ICD-9 diagnosis codes such as 574.0-574.9) or cholecystitis (ICD-9 code 575.0). The main goal of this procedure is therapeutic, as it alleviates symptoms associated with gallbladder disease, such as abdominal pain and digestive issues. Following a laparoscopic cholecystectomy (5123), patients are commonly prescribed analgesics, such as nonsteroidal anti-inflammatory drugs (NSAIDs) or opioids, to manage postoperative pain, along with antiemetics to prevent nausea. Additionally, if there are concerns about infection, antibiotics may be administered as a preventive measure. Key contraindications for this procedure include anticoagulant medications, such as warfarin or direct oral anticoagulants, which may need to be temporarily discontinued prior to surgery to reduce the risk of excessive bleeding, as well as certain antiplatelet drugs that can also increase bleeding risk. It is crucial for clinicians to evaluate a patient’s medication regimen thoroughly to ensure safe surgical intervention and optimal recovery.","The ICD-9 procedure code 0032 refers to the laparoscopic cholecystectomy (5123), a minimally invasive surgical procedure aimed at the removal of the gallbladder, primarily indicated for patients suffering from gallstones (ICD-9 diagnosis codes such as 574.0-574.9) or cholecystitis (ICD-9 code 575.0). The main goal of this procedure is therapeutic, as it alleviates symptoms associated with gallbladder disease, such as abdominal pain and digestive issues. Following a laparoscopic cholecystectomy (5123), patients are commonly prescribed analgesics, such as nonsteroidal anti-inflammatory drugs (NSAIDs) or opioids, to manage postoperative pain, along with antiemetics to prevent nausea. Additionally, if there are concerns about infection, antibiotics may be administered as a preventive measure. Key contraindications for this procedure include anticoagulant medications, such as warfarin (ICD-9 code 287.5) or direct oral anticoagulants, which may need to be temporarily discontinued prior to surgery to reduce the risk of excessive bleeding, as well as certain antiplatelet drugs that can also increase bleeding risk. It is crucial for clinicians to evaluate a patient’s medication regimen thoroughly to ensure safe surgical intervention and optimal recovery."
0033,"ICD-9 procedure code 0033 refers to a laparoscopic cholecystectomy (5123), which is a minimally invasive surgical procedure aimed at the removal of the gallbladder, primarily performed for therapeutic reasons in cases of symptomatic cholelithiasis (gallstones) or cholecystitis (inflammation of the gallbladder). The primary indications for this procedure include diagnoses such as ICD-9 codes 574.0 (cholelithiasis without acute cholecystitis (5750)) and 575.0 (acute cholecystitis (5750)), among others related to gallbladder dysfunction. Following a laparoscopic cholecystectomy (5123), patients are commonly prescribed analgesics such as nonsteroidal anti-inflammatory drugs (NSAIDs) or opioids for pain management, as well as antiemetics to control postoperative nausea and vomiting. Additionally, patients may require medications to manage potential complications, such as bile duct injury. Key contraindications include anticoagulants, which must often be held prior to the procedure to minimize the risk of excessive bleeding, and certain antiplatelet agents, as their use can complicate the surgical process and recovery. Overall, understanding these aspects of the procedure and its associated medication management is crucial for optimizing patient outcomes and ensuring safe postoperative care.","ICD-9 procedure code 0033 refers to a laparoscopic cholecystectomy (5123), which is a minimally invasive surgical procedure aimed at the removal of the gallbladder, primarily performed for therapeutic reasons in cases of symptomatic cholelithiasis (gallstones) (574.0) or cholecystitis (inflammation of the gallbladder) (575.0). The primary indications for this procedure include diagnoses such as ICD-9 codes 574.0 (cholelithiasis without acute cholecystitis (5750)) and 575.0 (acute cholecystitis (5750)), among others related to gallbladder dysfunction. Following a laparoscopic cholecystectomy (5123), patients are commonly prescribed analgesics such as nonsteroidal anti-inflammatory drugs (NSAIDs) or opioids for pain management, as well as antiemetics to control postoperative nausea and vomiting. Additionally, patients may require medications to manage potential complications, such as bile duct injury. Key contraindications include anticoagulants, which must often be held prior to the procedure to minimize the risk of excessive bleeding, and certain antiplatelet agents, as their use can complicate the surgical process and recovery. Overall, understanding these aspects of the procedure and its associated medication management is crucial for optimizing patient outcomes and ensuring safe postoperative care."
0039,"The ICD-9 procedure code 0039 refers to a diagnostic or therapeutic procedure known as endoscopic retrograde cholangiopancreatography (ERCP), which is primarily performed to visualize and treat conditions affecting the bile ducts and pancreatic ducts, such as obstructive jaundice, pancreatitis, or choledocholithiasis. This procedure is typically indicated for patients presenting with ICD-9 diagnoses such as biliary obstruction, pancreatitis, or suspected bile duct stones. Following ERCP, patients may be prescribed medications such as analgesics for pain management, antiemetics to prevent nausea, and antibiotics to prevent or treat infections, particularly if there is a risk of post-procedure pancreatitis or cholangitis (5761). It is crucial to note that certain anticoagulants, such as warfarin, and nonsteroidal anti-inflammatory drugs (NSAIDs) may need to be held prior to the procedure due to the increased risk of bleeding, and careful consideration must be given to the use of these medications in the post-procedure period to minimize complications.","The ICD-9 procedure code 0039 refers to a diagnostic or therapeutic procedure known as endoscopic retrograde cholangiopancreatography (ERCP) (2172), which is primarily performed to visualize and treat conditions affecting the bile ducts and pancreatic ducts, such as obstructive jaundice, pancreatitis (5770), or choledocholithiasis (bile duct stones) (7897). This procedure is typically indicated for patients presenting with ICD-9 diagnoses such as biliary obstruction, pancreatitis, or suspected bile duct stones. Following ERCP, patients may be prescribed medications such as analgesics for pain management, antiemetics to prevent nausea, and antibiotics (5761) to prevent or treat infections, particularly if there is a risk of post-procedure pancreatitis or cholangitis. It is crucial to note that certain anticoagulants, such as warfarin, and nonsteroidal anti-inflammatory drugs (NSAIDs) may need to be held prior to the procedure due to the increased risk of bleeding, and careful consideration must be given to the use of these medications in the post-procedure period to minimize complications."
0040,"The ICD-9 procedure code 0040 refers to a Cholecystectomy (5122), which is a surgical procedure aimed at the removal of the gallbladder, primarily for therapeutic purposes to alleviate symptoms associated with gallstones or cholecystitis. This procedure is typically indicated for patients diagnosed with acute or chronic cholecystitis (57511), symptomatic gallstones (ICD-9 codes 574.x), or pancreatitis related to gallstone obstruction (ICD-9 code 577.0). Post-procedure, patients are commonly prescribed analgesics such as opioids or non-steroidal anti-inflammatory drugs (NSAIDs) for pain management, as well as antiemetics to address nausea. Additionally, if there are concerns about biliary leakage or infection, antibiotics may be administered. Key contraindications include anticoagulants, such as warfarin, which may need to be withheld prior to surgery to reduce the risk of excessive bleeding, as well as certain non-steroidal anti-inflammatory drugs that can increase bleeding risk and should be stopped before the procedure. It is crucial to manage these medication considerations to ensure patient safety and optimal recovery following a cholecystectomy (5122).","The ICD-9 procedure code 0040 refers to a Cholecystectomy (5122), which is a surgical procedure aimed at the removal of the gallbladder, primarily for therapeutic purposes to alleviate symptoms associated with gallstones (ICD-9 code 574.x) or cholecystitis (57511). This procedure is typically indicated for patients diagnosed with acute or chronic cholecystitis (57511), symptomatic gallstones (ICD-9 codes 574.x), or pancreatitis related to gallstone obstruction (ICD-9 code 577.0). Post-procedure, patients are commonly prescribed analgesics such as opioids or non-steroidal anti-inflammatory drugs (NSAIDs) for pain management, as well as antiemetics to address nausea. Additionally, if there are concerns about biliary leakage or infection, antibiotics may be administered. Key contraindications include anticoagulants, such as warfarin, which may need to be withheld prior to surgery to reduce the risk of excessive bleeding, as well as certain non-steroidal anti-inflammatory drugs that can increase bleeding risk and should be stopped before the procedure. It is crucial to manage these medication considerations to ensure patient safety and optimal recovery following a cholecystectomy (5122)."
0041,"ICD-9 procedure code 0041 refers to a laparoscopic cholecystectomy (5123), a minimally invasive surgical procedure aimed at the removal of the gallbladder, primarily to treat symptomatic gallstones or cholecystitis. This procedure is typically indicated for patients presenting with ICD-9 diagnoses such as cholelithiasis, acute or chronic cholecystitis (57511), and pancreatitis secondary to gallstones. Following the laparoscopic cholecystectomy (5123), patients are commonly prescribed analgesics such as non-steroidal anti-inflammatory drugs (NSAIDs) or opioids for pain management, as well as antacids or proton pump inhibitors to prevent postoperative gastric irritation and manage potential acid reflux. It is crucial to monitor for contraindications, as anticoagulants like warfarin or antiplatelet agents may need to be temporarily discontinued prior to the procedure to reduce the risk of excessive bleeding, and certain medications that affect coagulation should be carefully managed postoperatively to ensure patient safety during recovery.","ICD-9 procedure code 0041 refers to a laparoscopic cholecystectomy (5123), a minimally invasive surgical procedure aimed at the removal of the gallbladder, primarily to treat symptomatic gallstones (574.0-574.9) or cholecystitis (57511). This procedure is typically indicated for patients presenting with ICD-9 diagnoses such as cholelithiasis (574.0-574.9), acute or chronic cholecystitis (57511), and pancreatitis secondary to gallstones. Following the laparoscopic cholecystectomy (5123), patients are commonly prescribed analgesics such as non-steroidal anti-inflammatory drugs (NSAIDs) or opioids for pain management, as well as antacids or proton pump inhibitors to prevent postoperative gastric irritation and manage potential acid reflux. It is crucial to monitor for contraindications, as anticoagulants like warfarin may need to be temporarily discontinued prior to the procedure to reduce the risk of excessive bleeding, and certain medications that affect coagulation should be carefully managed postoperatively to ensure patient safety during recovery."
0042,"ICD-9 procedure code 0042 refers to Cholecystectomy (5122), laparoscopic, which is a minimally invasive surgical procedure aimed at removing the gallbladder, primarily to alleviate symptoms of gallbladder disease, such as biliary colic (7897) or acute cholecystitis (5750). This procedure is typically performed for primary diagnoses including gallstones (ICD-9 code 574), acute and chronic cholecystitis (57512) (57511) (ICD-9 codes 575.0 and 575.1), and other gallbladder-related disorders. Following a laparoscopic cholecystectomy (5123), patients are commonly prescribed analgesics for pain management, such as nonsteroidal anti-inflammatory drugs (NSAIDs) or opioids, as well as antiemetics to manage postoperative nausea. Additionally, some patients may require bile acid sequestrants if they experience diarrhea (78791) due to changes in bile flow. Key contraindications for this procedure include the use of anticoagulants such as warfarin or direct oral anticoagulants, which may need to be held prior to surgery to minimize the risk of excessive bleeding during and after the operation. Other cautionary measures may involve the discontinuation of certain nonsteroidal anti-inflammatory drugs that can increase bleeding risk, such as aspirin, especially if taken in high doses or for prolonged periods.","ICD-9 procedure code 0042 refers to Cholecystectomy (5122), laparoscopic, which is a minimally invasive surgical procedure aimed at removing the gallbladder, primarily to alleviate symptoms of gallbladder disease, such as biliary colic (7897) or acute cholecystitis (5750). This procedure is typically performed for primary diagnoses including gallstones (ICD-9 code 574.0), acute and chronic cholecystitis (57512) (57511) (ICD-9 codes 575.0 and 575.1), and other gallbladder-related disorders. Following a laparoscopic cholecystectomy (5123), patients are commonly prescribed analgesics for pain management, such as nonsteroidal anti-inflammatory drugs (NSAIDs) or opioids, as well as antiemetics to manage postoperative nausea. Additionally, some patients may require bile acid sequestrants if they experience diarrhea (78791) due to changes in bile flow. Key contraindications for this procedure include the use of anticoagulants such as warfarin or direct oral anticoagulants, which may need to be held prior to surgery to minimize the risk of excessive bleeding during and after the operation. Other cautionary measures may involve the discontinuation of certain nonsteroidal anti-inflammatory drugs that can increase bleeding risk, such as aspirin, especially if taken in high doses or for prolonged periods."
0043,"The ICD-9 procedure code 0043 refers to Cholecystectomy (5122), which is the surgical removal of the gallbladder, primarily performed to treat gallstones and associated complications such as cholecystitis or pancreatitis. The main goal of this procedure is therapeutic, aimed at alleviating symptoms and preventing further complications arising from gallbladder disease. Common primary indications for this procedure include diagnoses such as cholelithiasis (gallstones), acute cholecystitis (5750), and biliary colic (7897). Following a cholecystectomy (5122), patients are often prescribed medications such as analgesics for pain management, antiemetics to control nausea, and occasionally bile acid sequestrants if there are issues with fat digestion. Key contraindications include anticoagulants like warfarin, which may need to be held prior to surgery due to the increased risk of bleeding, and certain nonsteroidal anti-inflammatory drugs (NSAIDs) that can exacerbate bleeding risk post-operatively. Additionally, caution is advised with the use of medications that affect liver function, as the liver plays a crucial role in bile production and metabolism.","The ICD-9 procedure code 0043 refers to Cholecystectomy (5122), which is the surgical removal of the gallbladder, primarily performed to treat gallstones (574.0) and associated complications such as cholecystitis (575.0) or pancreatitis (577.0). The main goal of this procedure is therapeutic, aimed at alleviating symptoms and preventing further complications arising from gallbladder disease. Common primary indications for this procedure include diagnoses such as cholelithiasis (574.0), acute cholecystitis (5750), and biliary colic (7897). Following a cholecystectomy (5122), patients are often prescribed medications such as analgesics for pain management, antiemetics to control nausea, and occasionally bile acid sequestrants (78791) if there are issues with fat digestion. Key contraindications include anticoagulants like warfarin, which may need to be held prior to surgery due to the increased risk of bleeding, and certain nonsteroidal anti-inflammatory drugs (NSAIDs) that can exacerbate bleeding risk post-operatively. Additionally, caution is advised with the use of medications that affect liver function, as the liver plays a crucial role in bile production and metabolism."
